date,open,high,low,close,volume
2023-12-26,185.8,187.0,183.7,185.4,5776694
2023-12-27,185.75,187.5,182.5,186.45,5968253
2023-12-28,187.8,189.8,184.3,186.1,8115113
2023-12-29,186.55,201.65,184.8,199.05,48624005
2024-01-01,198.1,206.35,195.5,202.75,25210453
2024-01-02,201.8,209.0,197.25,202.15,20581788
2024-01-03,202.95,209.35,200.3,207.7,16523995
2024-01-04,208.0,219.8,208.0,216.45,20981115
2024-01-05,218.0,229.95,217.1,222.15,40926196
2024-01-08,222.55,223.2,212.0,213.1,12927707
2024-01-09,217.0,217.6,209.8,211.95,15497766
2024-01-10,221.0,221.0,211.8,214.25,21104217
2024-01-11,214.95,219.25,213.0,214.65,11208037
2024-01-12,215.9,218.2,214.05,216.4,10601045
2024-01-15,218.0,219.7,212.6,218.25,6722406
2024-01-16,222.2,222.25,213.3,219.5,13370944
2024-01-17,215.9,218.7,209.3,211.25,12467379
2024-01-18,212.1,219.0,206.0,215.95,20306069
2024-01-19,217.9,221.9,215.85,220.35,14521093
2024-01-20,222.7,222.7,214.25,215.6,4657009
2024-01-23,216.2,225.4,215.8,217.1,15110861
2024-01-24,224.9,236.0,219.0,229.95,45883653
2024-01-25,232.25,233.45,221.2,225.45,16159229
2024-01-29,227.0,233.95,226.1,232.25,11621907
2024-01-30,234.05,234.85,228.65,229.95,13591981
2024-01-31,230.1,230.75,220.7,221.95,13074866
2024-02-01,215.0,223.45,210.8,219.0,179433641
2024-02-02,221.35,222.4,215.5,216.15,20610570
2024-02-05,216.5,218.2,213.15,214.5,12688736
2024-02-06,215.05,222.8,213.15,221.0,21232928
2024-02-07,224.0,226.55,215.0,225.65,31399900
2024-02-08,226.8,230.4,225.0,227.6,22948763
2024-02-09,228.9,229.05,217.95,226.15,19574909
2024-02-12,226.4,226.4,210.35,213.55,12889298
2024-02-13,213.5,214.5,206.35,209.4,16041187
2024-02-14,207.65,218.7,207.0,215.95,12948046
2024-02-15,217.95,223.65,216.55,221.25,17812731
2024-02-16,221.85,224.8,218.95,220.55,7867687
2024-02-19,222.05,228.0,220.6,223.2,14359432
2024-02-20,223.25,225.0,219.4,221.4,10004050
2024-02-21,223.0,225.85,216.9,218.85,11554309
2024-02-22,220.5,226.1,217.5,225.15,11796419
2024-02-23,231.65,245.5,231.1,241.15,77810544
2024-02-26,245.0,252.9,243.3,246.35,47416676
2024-02-27,247.0,250.4,239.1,240.25,19963258
2024-02-28,240.5,250.4,234.5,244.65,54016111
2024-02-29,244.0,255.2,240.4,252.8,32290220
2024-03-01,252.8,264.15,246.45,263.1,37746325
2024-03-02,264.15,267.0,261.05,265.7,2728890
2024-03-04,265.55,269.8,263.4,268.1,12237066
2024-03-05,267.45,271.35,260.4,261.45,16010730
2024-03-06,261.0,261.0,246.0,252.95,24899815
2024-03-07,254.2,258.35,252.55,255.4,9619303
2024-03-11,254.0,255.2,246.4,247.45,8073625
2024-03-12,249.05,250.55,241.7,247.2,10111209
2024-03-13,248.0,249.55,231.3,236.4,16039868
2024-03-14,234.85,247.85,227.25,245.7,15267590
2024-03-15,244.2,252.4,241.2,248.35,14024872
2024-03-18,249.8,251.0,245.85,248.5,5938154
2024-03-19,249.0,251.6,234.0,238.25,30394055
2024-03-20,242.0,252.2,241.55,250.7,30243183
2024-03-21,253.0,254.8,249.35,250.2,9360207
2024-03-22,250.5,275.2,250.2,271.3,33142623
2024-03-26,279.0,286.0,274.4,283.65,51320717
2024-03-27,283.65,286.75,279.35,283.6,15903523
2024-03-28,283.6,292.75,283.25,291.15,20460251
2024-04-01,294.9,319.5,292.15,315.2,40267500
2024-04-02,314.5,314.5,303.65,304.75,18843574
2024-04-03,304.8,307.4,298.4,300.55,21197899
2024-04-04,304.05,310.0,301.55,306.6,13875200
2024-04-05,305.95,321.55,302.1,314.0,21960872
2024-04-08,316.5,331.5,315.95,327.8,28736885
2024-04-09,328.5,331.0,324.2,328.0,13705541
2024-04-10,325.0,330.0,317.15,326.7,17295594
2024-04-12,331.9,336.0,323.7,328.05,20855397
2024-04-15,322.35,337.75,322.25,334.55,15430900
2024-04-16,336.8,339.15,326.45,332.5,14995680
2024-04-18,335.5,353.85,335.0,344.4,40001173
2024-04-19,342.05,359.5,336.85,351.4,40376246
2024-04-22,352.0,355.25,341.65,349.8,18832015
2024-04-23,359.85,366.55,356.85,359.5,27662734
2024-04-24,363.2,364.0,346.85,348.35,20859429
2024-04-25,349.0,356.8,345.2,351.65,15367285
2024-04-26,352.0,355.45,348.6,353.3,11226725
2024-04-29,352.0,354.9,343.85,352.0,14121040
2024-04-30,353.0,360.5,352.55,354.8,15377757
2024-05-02,359.0,363.6,348.45,352.95,19136966
2024-05-03,353.5,358.35,347.65,350.95,14060465
2024-05-06,353.8,356.0,345.45,351.15,7702154
2024-05-07,347.0,348.8,335.5,338.2,12770435
2024-05-08,336.0,342.15,333.75,337.3,9756671
2024-05-09,338.3,341.35,325.85,327.85,6656525
2024-05-10,324.85,332.75,322.65,330.55,6438304
2024-05-13,329.0,332.25,321.25,328.3,6016682
2024-05-14,330.25,342.0,328.05,339.5,8910910
2024-05-15,342.45,347.9,340.0,341.8,9691825
2024-05-16,342.7,343.8,337.55,341.0,6688038
2024-05-17,343.4,349.0,342.5,344.45,8269010
2024-05-18,345.0,347.6,343.0,344.95,293526
2024-05-21,347.0,347.55,338.15,339.05,7533289
2024-05-22,342.5,345.25,336.75,339.5,8139260
2024-05-23,341.65,347.65,340.15,343.8,6693276
2024-05-24,346.15,356.45,343.05,346.7,22371674
2024-05-27,347.0,352.0,340.8,342.75,7873067
2024-05-28,346.0,350.95,340.05,341.4,10680935
2024-05-29,343.0,345.3,340.25,340.95,6954616
2024-05-30,340.8,346.4,338.7,343.75,10307057
2024-05-31,347.2,350.7,342.0,348.15,110651268
2024-06-03,360.5,369.9,341.7,364.0,29686486
2024-06-04,363.0,363.0,292.0,307.95,28901481
2024-06-05,319.3,335.8,309.25,332.7,14300262
2024-06-06,335.0,344.95,334.5,339.35,8216145
2024-06-07,338.05,351.4,337.1,347.15,10966598
2024-06-10,347.15,352.5,344.45,348.15,5450324
2024-06-11,350.1,353.35,342.0,347.95,6964630
2024-06-12,349.4,349.4,340.95,342.15,9458583
2024-06-13,344.1,346.6,337.0,339.5,7980545
2024-06-14,340.0,346.8,338.5,340.75,12332822
2024-06-18,335.3,347.55,331.65,344.55,17706369
